[2026-06-08T07:08:50.308Z] GET http://127.0.0.1:8787/api/containers → 200 (557ms, 1722B)
[2026-06-08T07:08:55.307Z] GET http://127.0.0.1:8787/api/metrics → 200 (225ms, 554B)
[2026-06-08T07:09:00.308Z] GET http://127.0.0.1:8787/api/metrics → 200 (223ms, 556B)
[2026-06-08T07:09:03.225Z] GET http://127.0.0.1:8787/ → 200 (5ms, 17379B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/xterm.css → 200 (7ms, ?B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/app.css?v=1780902538 → 200 (1ms, 77302B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/shelldeck-logo.png → 304 (19ms, ?B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/xterm.js → 304 (7ms, ?B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/addon-fit.js → 304 (7ms, ?B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/core.js?v=1780902538 → 200 (31ms, 24776B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/prefs.js?v=1780902538 → 200 (28ms, 11148B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/render.js?v=1780902538 → 200 (31ms, 31074B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/actions.js?v=1780902538 → 200 (31ms, 49603B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/terminal.js?v=1780902538 → 200 (29ms, 35078B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/metrics.js?v=1780902538 → 200 (31ms, 37130B)
[2026-06-08T07:09:03.237Z] GET http://127.0.0.1:8787/assets/events.js?v=1780902538 → 200 (31ms, 32098B)
[2026-06-08T07:09:03.283Z] GET http://127.0.0.1:8787/api/summary → pending (?ms, ?B)
[2026-06-08T07:09:03.283Z] GET http://127.0.0.1:8787/api/shells?lines=80 → 200 (66ms, 54474B)
[2026-06-08T07:09:03.283Z] GET http://127.0.0.1:8787/api/ui-config → 200 (14ms, 239B)
[2026-06-08T07:09:03.299Z] GET http://127.0.0.1:8787/api/tickers → 200 (122ms, 783B)
[2026-06-08T07:09:03.299Z] GET http://127.0.0.1:8787/api/metrics → 200 (213ms, 557B)
[2026-06-08T07:09:03.299Z] GET http://127.0.0.1:8787/api/containers → pending (?ms, ?B)
[2026-06-08T07:09:03.299Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:09:03.299Z] GET http://127.0.0.1:8787/api/links → 200 (72ms, 886B)
[2026-06-08T07:09:03.371Z] GET http://127.0.0.1:8787/api/shells/stream?lines=80 → 200 (8ms, ?B)
[2026-06-08T07:09:08.282Z] GET http://127.0.0.1:8787/api/metrics → 200 (229ms, 558B)
[2026-06-08T07:09:13.276Z] GET http://127.0.0.1:8787/api/metrics → 200 (223ms, 556B)
[2026-06-08T07:09:18.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (224ms, 557B)
[2026-06-08T07:09:18.277Z] GET http://127.0.0.1:8787/api/containers → 200 (560ms, 1722B)
[2026-06-08T07:09:23.278Z] GET http://127.0.0.1:8787/api/metrics → 200 (221ms, 557B)
[2026-06-08T07:09:23.278Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:09:28.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (224ms, 554B)
[2026-06-08T07:09:33.274Z] GET http://127.0.0.1:8787/api/sessions → 200 (4ms, 958B)
[2026-06-08T07:09:33.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (212ms, 556B)
[2026-06-08T07:09:33.277Z] GET http://127.0.0.1:8787/api/containers → 200 (546ms, 1722B)
[2026-06-08T07:09:38.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (224ms, 545B)
[2026-06-08T07:09:43.279Z] GET http://127.0.0.1:8787/api/metrics → 200 (221ms, 555B)
[2026-06-08T07:09:43.279Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:09:48.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (212ms, 546B)
[2026-06-08T07:09:48.278Z] GET http://127.0.0.1:8787/api/containers → 200 (646ms, 1722B)
[2026-06-08T07:09:53.276Z] GET http://127.0.0.1:8787/api/metrics → 200 (212ms, 556B)
[2026-06-08T07:09:58.276Z] GET http://127.0.0.1:8787/api/metrics → 200 (214ms, 556B)
[2026-06-08T07:10:03.274Z] GET http://127.0.0.1:8787/api/sessions → 200 (3ms, 958B)
[2026-06-08T07:10:03.274Z] GET http://127.0.0.1:8787/api/summary → pending (?ms, ?B)
[2026-06-08T07:10:03.277Z] GET http://127.0.0.1:8787/api/tickers → 200 (133ms, 783B)
[2026-06-08T07:10:03.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (215ms, 556B)
[2026-06-08T07:10:03.277Z] GET http://127.0.0.1:8787/api/containers → 200 (587ms, 1722B)
[2026-06-08T07:10:03.277Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:10:08.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (215ms, 556B)
[2026-06-08T07:10:13.278Z] GET http://127.0.0.1:8787/api/metrics → 200 (213ms, 555B)
[2026-06-08T07:10:18.278Z] GET http://127.0.0.1:8787/api/metrics → 200 (210ms, 556B)
[2026-06-08T07:10:18.278Z] GET http://127.0.0.1:8787/api/containers → 200 (561ms, 1722B)
[2026-06-08T07:10:23.276Z] GET http://127.0.0.1:8787/api/metrics → 200 (217ms, 556B)
[2026-06-08T07:10:23.277Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:10:28.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (213ms, 555B)
[2026-06-08T07:10:33.273Z] GET http://127.0.0.1:8787/api/sessions → 200 (5ms, 958B)
[2026-06-08T07:10:33.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (213ms, 555B)
[2026-06-08T07:10:33.278Z] GET http://127.0.0.1:8787/api/containers → 200 (555ms, 1721B)
[2026-06-08T07:10:38.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (214ms, 556B)
[2026-06-08T07:10:43.276Z] GET http://127.0.0.1:8787/api/metrics → 200 (211ms, 556B)
[2026-06-08T07:10:43.276Z] GET http://127.0.0.1:8787/api/remote-hosts → pending (?ms, ?B)
[2026-06-08T07:10:48.277Z] GET http://127.0.0.1:8787/api/metrics → 200 (221ms, 556B)
[2026-06-08T07:10:48.277Z] GET http://127.0.0.1:8787/api/containers → 200 (559ms, 1722B)
[2026-06-08T07:10:50.022Z] GET http://127.0.0.1:8787/ → 200 (2ms, 17379B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/xterm.css → 200 (1ms, ?B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/app.css?v=1780902649 → 200 (1ms, 77302B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/shelldeck-logo.png → 304 (12ms, ?B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/xterm.js → 304 (1ms, ?B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/addon-fit.js → 304 (1ms, ?B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/core.js?v=1780902649 → 200 (12ms, 24776B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/prefs.js?v=1780902649 → 200 (12ms, 11148B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/render.js?v=1780902649 → 200 (12ms, 31074B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/actions.js?v=1780902649 → 200 (12ms, 49603B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/terminal.js?v=1780902649 → 200 (12ms, 35078B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/metrics.js?v=1780902649 → 200 (13ms, 37130B)
[2026-06-08T07:10:50.030Z] GET http://127.0.0.1:8787/assets/events.js?v=1780902649 → 200 (13ms, 32098B)
